"TIME","GEO","SEX","AGE","Value","Flag and Footnotes"
"2004","Slovenia","Total","From 15 to 64 years","15.7",""
"2005","Slovenia","Total","From 15 to 64 years","16.7",""
"2006","Slovenia","Total","From 15 to 64 years","17.8",""
"2007","Slovenia","Total","From 15 to 64 years","18.5",""
"2008","Slovenia","Total","From 15 to 64 years","19.0",""
"2009","Slovenia","Total","From 15 to 64 years","19.6",""
"2010","Slovenia","Total","From 15 to 64 years","20.2",""
"2001","Slovakia","Total","From 15 to 64 years","8.6",""
"2002","Slovakia","Total","From 15 to 64 years","8.8",""
"2003","Slovakia","Total","From 15 to 64 years","9.6",""
"2004","Slovakia","Total","From 15 to 64 years","10.4",""
"2005","Slovakia","Total","From 15 to 64 years","11.4",""
"2006","Slovakia","Total","From 15 to 64 years","11.9",""
"2007","Slovakia","Total","From 15 to 64 years","11.9",""
"2008","Slovakia","Total","From 15 to 64 years","12.3",""
"2009","Slovakia","Total","From 15 to 64 years","13.4",""
"2010","Slovakia","Total","From 15 to 64 years","15.1",""
"2001","Finland","Total","From 15 to 64 years","27.0",""
"2002","Finland","Total","From 15 to 64 years","26.9",""
"2003","Finland","Total","From 15 to 64 years","27.5",""
"2004","Finland","Total","From 15 to 64 years","28.3",""
"2005","Finland","Total","From 15 to 64 years","28.6",""
"2006","Finland","Total","From 15 to 64 years","29.0",""
"2007","Finland","Total","From 15 to 64 years","30.0",""
"2008","Finland","Total","From 15 to 64 years","30.2",""
"2009","Finland","Total","From 15 to 64 years","30.9",""
"2010","Finland","Total","From 15 to 64 years","31.6",""
"2001","Sweden","Total","From 15 to 64 years","22.5","b"
"2002","Sweden","Total","From 15 to 64 years","23.2",""
"2003","Sweden","Total","From 15 to 64 years","23.9",""
"2004","Sweden","Total","From 15 to 64 years","24.7",""
"2005","Sweden","Total","From 15 to 64 years","25.9",""
"2006","Sweden","Total","From 15 to 64 years","26.5",""
"2007","Sweden","Total","From 15 to 64 years","27.0",""
"2008","Sweden","Total","From 15 to 64 years","27.5",""
"2009","Sweden","Total","From 15 to 64 years","27.9",""
"2010","Sweden","Total","From 15 to 64 years","28.3",""
"2001","United Kingdom","Total","From 15 to 64 years","25.9",""
"2002","United Kingdom","Total","From 15 to 64 years","26.7",""
"2003","United Kingdom","Total","From 15 to 64 years","25.5",""
"2004","United Kingdom","Total","From 15 to 64 years","26.3",""
"2005","United Kingdom","Total","From 15 to 64 years","26.7",""
"2006","United Kingdom","Total","From 15 to 64 years","27.6",""
"2007","United Kingdom","Total","From 15 to 64 years","28.6",""
"2008","United Kingdom","Total","From 15 to 64 years","28.7",""
"2009","United Kingdom","Total","From 15 to 64 years","30.0",""
"2010","United Kingdom","Total","From 15 to 64 years","31.5",""
"2001","Iceland","Total","From 15 to 64 years","19.1",""
"2002","Iceland","Total","From 15 to 64 years","20.6",""
"2003","Iceland","Total","From 15 to 64 years","23.4",""
"2004","Iceland","Total","From 15 to 64 years","23.9",""
"2005","Iceland","Total","From 15 to 64 years","24.9",""
"2006","Iceland","Total","From 15 to 64 years","24.0",""
"2007","Iceland","Total","From 15 to 64 years","24.8",""
"2008","Iceland","Total","From 15 to 64 years","25.5",""
"2009","Iceland","Total","From 15 to 64 years","26.5",""
"2010","Iceland","Total","From 15 to 64 years","26.3",""
"2001","Norway","Total","From 15 to 64 years","30.7",""
"2002","Norway","Total","From 15 to 64 years","30.2",""
"2003","Norway","Total","From 15 to 64 years","27.5",""
"2004","Norway","Total","From 15 to 64 years","28.2",""
"2005","Norway","Total","From 15 to 64 years","28.4",""
"2006","Norway","Total","From 15 to 64 years","28.2","b"
"2007","Norway","Total","From 15 to 64 years","29.2",""
"2008","Norway","Total","From 15 to 64 years","30.2",""
"2009","Norway","Total","From 15 to 64 years","30.7",""
"2010","Norway","Total","From 15 to 64 years","31.4",""
"2001","Switzerland","Total","From 15 to 64 years","21.4",""
"2002","Switzerland","Total","From 15 to 64 years","21.4",""
"2003","Switzerland","Total","From 15 to 64 years","22.7",""
"2004","Switzerland","Total","From 15 to 64 years","23.7",""
"2005","Switzerland","Total","From 15 to 64 years","24.2",""
"2006","Switzerland","Total","From 15 to 64 years","25.2",""
"2007","Switzerland","Total","From 15 to 64 years","26.5",""
"2008","Switzerland","Total","From 15 to 64 years","28.5",""
"2009","Switzerland","Total","From 15 to 64 years","29.6",""
"2010","Switzerland","Total","From 15 to 64 years","30.0",""
"2001","Croatia","Total","From 15 to 64 years",":",""
"2002","Croatia","Total","From 15 to 64 years","13.1",""
"2003","Croatia","Total","From 15 to 64 years","13.2",""
"2004","Croatia","Total","From 15 to 64 years","13.2",""
"2005","Croatia","Total","From 15 to 64 years","13.4",""
"2006","Croatia","Total","From 15 to 64 years","13.6",""
"2007","Croatia","Total","From 15 to 64 years","13.6",""
"2008","Croatia","Total","From 15 to 64 years","13.9",""
"2009","Croatia","Total","From 15 to 64 years","14.8",""
"2010","Croatia","Total","From 15 to 64 years","15.7",""
"2001","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years",":",""
"2002","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years",":",""
"2003","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years",":",""
"2004","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years",":",""
"2005","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years",":",""
"2006","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","10.6",""
"2007","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","11.7",""
"2008","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","11.0",""
"2009","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","12.5",""
"2010","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 64 years","13.3",""
"2001","Turkey","Total","From 15 to 64 years",":",""
"2002","Turkey","Total","From 15 to 64 years",":",""
"2003","Turkey","Total","From 15 to 64 years",":",""
"2004","Turkey","Total","From 15 to 64 years",":",""
"2005","Turkey","Total","From 15 to 64 years",":",""
"2006","Turkey","Total","From 15 to 64 years","8.4",""
"2007","Turkey","Total","From 15 to 64 years","8.8",""
"2008","Turkey","Total","From 15 to 64 years","9.5",""
"2009","Turkey","Total","From 15 to 64 years","10.0",""
"2010","Turkey","Total","From 15 to 64 years","10.5",""
